agr_name;agr_participant;cri_inst_name_all;cri_inst_id;publisher_standard_name;edvarda_participant_id;agr_inst_tag
tnf;Nordlandsforskning;Nordlandsforskning;7446;Taylor & Francis;15474;nf
tnf;Norges Handelshøyskole;Norges Handelshøyskole;191;Taylor & Francis;15480;nhh
tnf;Norges Idrettshøgskole - Biblioteket;Norges idrettshøgskole;150;Taylor & Francis;15485;nih
tnf;Norges miljø- og biovitenskapelige universitet;Norges miljø- og biovitenskapelige universitet;192;Taylor & Francis;15493;nmbu
tnf;Norges musikkhøgskole;Norges musikkhøgskole;178;Taylor & Francis;15494;nmh
tnf;Norges teknisk-naturvitenskapelige universitet;Norges teknisk-naturvitenskapelige universitet;194;Taylor & Francis;15507;ntnu
tnf;Norges teknisk-naturvitenskapelige universitet;St. Olavs Hospital HF;1920;Taylor & Francis;15507;ntnu02
tnf;Norsk institutt for naturforskning;Norsk institutt for naturforskning;7511;Taylor & Francis;15489;nina
tnf;Norsk Utenrikspolitisk Institutt;Norsk Utenrikspolitisk Institutt;7471;Taylor & Francis;15508;nupi
tnf;NUBU - Nasjonalt utviklingssenter for barn og unge;NA;NA;Taylor & Francis;51031;nubu
tnf;Oslo Nye Høyskole;Oslo Nye Høyskole;1620;Taylor & Francis;51024;bh
tnf;OsloMet - Storbyuniversitetet;OsloMet - storbyuniversitetet;215;Taylor & Francis;15439;oslomet
tnf;Regionsenter for barn og unges psykiske helse, helseregion Øst og Sør;RBUP Øst og Sør;7539;Taylor & Francis;15519;rbupos
tnf;SINTEF AS;SINTEF Narvik;6228;Taylor & Francis;15526;sintef
tnf;SINTEF AS;SINTEF AS;7401;Taylor & Francis;15526;sintef02
tnf;SINTEF AS;SINTEF Energi AS;7548;Taylor & Francis;15526;sintef03
tnf;SINTEF AS;SINTEF Ocean;7566;Taylor & Francis;15526;sintef04
tnf;SINTEF AS;SINTEF Manufacturing;7630;Taylor & Francis;15526;sintef05
tnf;Transportøkonomisk Institutt;Transportøkonomisk institutt;7482;Taylor & Francis;15544;toei
tnf;UiO : Universitetsbiblioteket;Universitetet i Oslo;185;Taylor & Francis;15550;uio
tnf;UiO : Universitetsbiblioteket;Akershus universitetssykehus HF;1972;Taylor & Francis;15550;uio02
tnf;UiO : Universitetsbiblioteket;Oslo universitetssykehus HF;2012;Taylor & Francis;15550;uio03
tnf;UiO : Universitetsbiblioteket;Kreftregisteret - Institutt for populasjonsbasert kreftforskning;5737;Taylor & Francis;15550;uio04
tnf;UiO : Universitetsbiblioteket;Folkehelseinstituttet;7502;Taylor & Francis;15550;uio05
tnf;UiT - Norges arktiske universitet;UiT Norges arktiske universitet;186;Taylor & Francis;15552;uit
tnf;UiT - Norges arktiske universitet;Universitetssykehuset Nord-Norge HF;1902;Taylor & Francis;15552;uit02
tnf;Universitetet i Agder;Universitetet i Agder;201;Taylor & Francis;15548;uia
